Accession	Title	TFOE	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM1427029	TFOE_1910_3736	Rv3736	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427029/suppl		Tige Rustad	4-Jul-14
GSM1427030	TFOE_4357_3736	Rv3736	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427030/suppl		Tige Rustad	4-Jul-14
GSM1427031	TFOE_8016_3736	Rv3736	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427031/suppl		Tige Rustad	4-Jul-14
GSM1427032	TFOE_1935_3744	Rv3744	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427032/suppl		Tige Rustad	4-Jul-14
GSM1427033	TFOE_5037_3744	Rv3744	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427033/suppl		Tige Rustad	4-Jul-14
GSM1427034	TFOE_8731_3744	Rv3744	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427034/suppl		Tige Rustad	4-Jul-14
GSM1427035	TFOE_1156_3765c	Rv3765	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427035/suppl		Tige Rustad	4-Jul-14
GSM1427036	TFOE_1447_3765c	Rv3765	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427036/suppl		Tige Rustad	4-Jul-14
GSM1427037	TFOE_9040_3765c	Rv3765	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427037/suppl		Tige Rustad	4-Jul-14
GSM1427038	TFOE_1864_3830c	Rv3830	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427038/suppl		Tige Rustad	4-Jul-14
GSM1427039	TFOE_8264_3830c	Rv3830	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427039/suppl		Tige Rustad	4-Jul-14
GSM1427040	TFOE_9939_3830c	Rv3830	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427040/suppl		Tige Rustad	4-Jul-14
GSM1427041	TFOE_2975_3833	Rv3833	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427041/suppl		Tige Rustad	4-Jul-14
GSM1427042	TFOE_4103_3833	Rv3833	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427042/suppl		Tige Rustad	4-Jul-14
GSM1427043	TFOE_4939_3833	Rv3833	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427043/suppl		Tige Rustad	4-Jul-14
GSM1427044	TFOE_1539_3840	Rv3840	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427044/suppl		Tige Rustad	4-Jul-14
GSM1427045	TFOE_4551_3840	Rv3840	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427045/suppl		Tige Rustad	4-Jul-14
GSM1427046	TFOE_7414_3840	Rv3840	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427046/suppl		Tige Rustad	4-Jul-14
GSM1427047	TFOE_3695_3849	Rv3849	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427047/suppl		Tige Rustad	4-Jul-14
