,Gene Expr MI Eigenvector Centrality
Rv0585c,0.015413187415179977
Rv0586,0.016066083782593842
Rv0587,0.016663717001090206
Rv0588,0.01813631396043598
Rv0589,0.015406514671486425
Rv0591,0.012440466056018229
Rv0592,0.010367409273250751
Rv0593,0.010769825640792548
Rv0594,0.014302562079160981
Rv0595c,0.008350807154015073
Rv0596c,0.006571464182289288
Rv0597c,0.018167742524046168
Rv0598c,0.01685272060882263
Rv0599c,0.0115690770520308
Rv0600c,0.01186465688645053
Rv0601c,0.014060202032197959
Rv0602c,0.011911551643834003
Rv0603,0.01094537224854265
Rv0604,0.016206753902813193
Rv0605,0.023365216425217224
Rv0607,0.014670789363805121
Rv0608,0.011760663960041573
Rv0609,0.012366078288973782
Rv0609A,0.009929528830446486
Rv0610c,0.014790891513108145
Rv0611c,0.013538099114625477
Rv0612,0.01833036740100693
Rv0613c,0.020097229735263476
Rv0614,0.013806717387113391
Rv0615,0.008640587822669618
Rv0616A,0.014479389353530797
Rv0617,0.015365735349388194
Rv0620,0.010850140683785146
Rv0621,0.014750412779784899
Rv0622,0.01063094575959799
Rv0623,0.010970693477484642
Rv0624,0.011508082408715125
Rv0625c,0.019968096421983317
Rv0626,0.012336525716946142
Rv0627,0.012611919511279804
Rv0628c,0.018186844262672336
Rv0629c,0.01286574853250769
Rv0630c,0.020564386809514817
Rv0631c,0.017748889736926985
Rv0632c,0.018307233158590855
Rv0633c,0.013417304257932448
Rv0634A,0.015262751819968454
Rv0634B,0.017441728415855437
Rv0634c,0.01140134640162195
Rv0635,0.017095439191464543
Rv0636,0.018505660378893483
Rv0637,0.01950678097959162
Rv0638,0.01334195602479838
Rv0639,0.013590085383672824
Rv0640,0.0146113759822547
Rv0641,0.01686767997833378
Rv0642c,0.020435225231992534
Rv0643c,0.017896191133639768
Rv0644c,0.018945734196104715
Rv0645c,0.014556357567775078
Rv0646c,0.020984234956781866
Rv0647c,0.021346020183221317
Rv0648,0.014504285905141336
Rv0649,0.011326554989149192
Rv0650,0.009838905863487605
Rv0651,0.014943075798746737
Rv0652,0.017331480470127843
Rv0653c,0.017470835354893167
Rv0654,0.014905531978121089
Rv0655,0.015176950522445566
Rv0656c,0.01234214825343404
Rv0658c,0.016686238598730408
Rv0659c,0.014408890701034316
Rv0660c,0.009915375743535222
Rv0661c,0.01412414619628468
Rv0662c,0.010879990164949175
Rv0663,0.013951724435908714
Rv0665,0.01764674561293336
Rv0667,0.015721231901385878
Rv0668,0.01807827681728576
Rv0669c,0.01748277896858259
Rv0670,0.015012280246427414
Rv0671,0.014969907984129003
Rv0672,0.014689780620241804
Rv0673,0.01098814291512201
Rv0674,0.009168003298062341
Rv0675,0.008518440327045027
Rv0676c,0.0152712680614141
Rv0677c,0.01596214649569146
Rv0678,0.013683975919822212
Rv0679c,0.013025383016594467
Rv0680c,0.009176150156518402
Rv0681,0.01155000948191209
Rv0682,0.012480754912939164
Rv0683,0.01384713785412921
Rv0684,0.015908872139829038
Rv0685,0.017635205624491064
Rv0686,0.013348366829994384
Rv0687,0.014460689727481314
Rv0688,0.012874741563447235
Rv0689c,0.010600647658895524
Rv0690c,0.017912945157442503
Rv0691A,0.013110076876118084
Rv0691c,0.012211445114568772
Rv0692,0.015103433290815496
Rv0693,0.01333270666968335
Rv0694,0.015700788814504082
Rv0695,0.018745735532499794
Rv0696,0.020847983068756334
Rv0697,0.018229792469084533
Rv0698,0.012787104774771506
Rv0699,0.008984454753332038
Rv0700,0.016916700582833087
Rv0701,0.017600695763000707
Rv0702,0.01600859297395927
Rv0703,0.017684743349420474
Rv0704,0.018090220944779155
Rv0705,0.017585645661290342
Rv0706,0.01605299521619687
Rv0707,0.01792788753988272
Rv0708,0.018507416679871023
Rv0709,0.017619711023205562
Rv0710,0.01802055082832125
Rv0711,0.015432896537935007
Rv0712,0.012044157726121475
