,Eigenvector Centrality
Rv1689,1.5972913288847948e-09
Rv1692,1.435676164527503e-05
Rv1695,0.08267472977312942
Rv1699,0.00018498372654711154
Rv1704c,0.000278328926784924
Rv1712,9.388406934109992e-06
Rv1714,2.1586111597804418e-11
Rv1715,0.0002546375805692461
Rv1731,2.072426135508908e-05
Rv1736c,9.324093358173718e-10
Rv1737c,3.4217869153521087e-06
Rv1739c,0.0001122934024482343
Rv1745c,8.965364207639358e-05
Rv1750c,0.0002250216512470597
Rv1755c,0.000173777253094941
Rv1760,2.1586111597804418e-11
Rv1819c,5.725800337410529e-08
Rv1820,3.74135872062409e-05
Rv1822,0.08451892764617465
Rv1826,3.0230167289392144e-05
Rv1832,3.0230167289392144e-05
Rv1837c,5.1842817481574325e-05
Rv1843c,0.03334429329521346
Rv1844c,3.712268466491381e-06
Rv1848,1.4453724438151355e-09
Rv1849,1.4453724438151355e-09
Rv1850,1.4453724438151355e-09
Rv1851,1.4453724438151355e-09
Rv1852,1.4453724438151355e-09
Rv1853,1.4453724438151355e-09
Rv1854c,9.698205372895058e-07
Rv1857,3.8295214150976715e-05
Rv1858,3.8295214150976715e-05
Rv1859,3.8295214150976715e-05
Rv1862,1.11196357641833e-05
Rv1872c,1.8305792878359558e-05
Rv1878,8.73138519879883e-06
Rv1885c,1.3845851826140815e-05
Rv1886c,0.0019297686545524093
Rv1894c,5.115993962834579e-06
Rv1895,1.4924861962575612e-09
Rv1900c,8.105068577493497e-05
Rv1902c,6.750852018424086e-05
Rv1905c,3.52965550497974e-06
Rv1908c,2.9015784615114906e-06
Rv1912c,0.0002546375805692461
Rv1915,6.939490256718989e-06
Rv1916,6.939490256718989e-06
Rv1923,2.1586111597804418e-11
Rv1925,0.0002250216512470597
Rv1928c,2.1586111597804418e-11
Rv1933c,0.0002546375805692461
Rv1934c,0.0002546375805692461
Rv1935c,0.0002546375805692461
Rv1938,2.1586111597804418e-11
Rv1940,0.05978496933807354
Rv1981c,0.08392504253361745
Rv2006,0.001996061602350599
Rv2029c,4.335842358038459e-05
Rv2038c,0.0011604641644848814
Rv2039c,0.0011604641644848814
Rv2040c,0.0011604641644848814
Rv2041c,0.0011604641644848814
Rv2043c,2.1586111597804418e-11
Rv2045c,2.1586111597804418e-11
Rv2048c,1.1078779855967346e-09
Rv2051c,0.08348247294786605
Rv2059,9.059935063660811e-06
Rv2061c,9.059935063660811e-06
Rv2062c,9.982534938000855e-10
Rv2064,2.1586111597804418e-11
Rv2065,2.1586111597804418e-11
Rv2066,4.3043880248438196e-10
Rv2070c,2.1586111597804418e-11
Rv2071c,2.1586111597804418e-11
Rv2072c,2.1586111597804418e-11
Rv2074,7.591763840202464e-06
Rv2121c,2.509158390390898e-05
Rv2122c,2.5113083489804305e-05
Rv2124c,9.884659528191384e-06
Rv2127,0.0001368573887191118
Rv2130c,0.08296692190206571
Rv2131c,0.0043353230123702406
Rv2136c,0.059327290094164195
Rv2139,0.0011818009628901348
Rv2152c,0.07357814546208712
Rv2153c,0.07934874341591762
Rv2155c,0.07357814546208712
Rv2156c,0.07938894174677323
Rv2157c,0.07938894174677323
Rv2158c,0.07370716367916845
Rv2163c,0.07991332106880901
Rv2173,0.0002778064615847681
Rv2174,9.509722730449766e-10
Rv2178c,0.00014319110110534673
Rv2181,9.509722730449766e-10
Rv2182c,0.08337868144424673
Rv2187,0.0002250216512470597
Rv2188c,0.021026257052911793
Rv2192c,0.00012566616494279794
Rv2193,0.07040347653113933
Rv2194,0.07040347653113933
Rv2195,0.07040347653113933
Rv2196,0.07040347653113933
Rv2200c,0.07040347653113933
Rv2201,5.914270491766739e-05
